Chr1	11649	13714	AT1G01030.1	-
Chr1	1799418	1800933	AT1G05930.1	+
Chr1	2887285	2887706	AT1G08985.1	+
Chr1	5686603	5687715	AT1G16640.1	+
Chr1	7133111	7134416	AT1G20600.1	+
Chr1	9219463	9223649	AT1G26680.1	+
Chr1	9896867	9899876	AT1G28300.1	-
Chr1	16672582	16673952	AT1G43950.1	-
Chr1	18312920	18314016	AT1G49475.1	+
Chr1	18314178	18316645	AT1G49480.1	-
Chr2	7026763	7029054	AT2G16210.1	-
Chr2	7026800	7029054	AT2G16210.2	-
Chr2	10480532	10482795	AT2G24645.1	-
Chr2	10483490	10487571	AT2G24650.1	-
Chr2	10493856	10496878	AT2G24680.1	-
Chr2	10493263	10496878	AT2G24680.2	-
Chr2	10497147	10498331	AT2G24681.1	-
Chr2	10499551	10503140	AT2G24690.1	-
Chr2	10509068	10510902	AT2G24696.1	-
Chr2	10513016	10515411	AT2G24700.1	-
Chr2	12980507	12985043	AT2G30470.1	-
Chr2	14263732	14265202	AT2G33720.1	+
Chr2	14864855	14866598	AT2G35310.1	+
Chr2	15148259	15151575	AT2G36080.1	-
Chr2	15150551	15151575	AT2G36080.2	-
Chr2	19260918	19262404	AT2G46870.1	+
Chr3	1864326	1867192	AT3G06160.1	+
Chr3	1864273	1867267	AT3G06160.2	+
Chr3	1883616	1884953	AT3G06220.1	-
Chr3	3648924	3651332	AT3G11580.1	-
Chr3	3650540	3651317	AT3G11580.2	-
Chr3	5800460	5802468	AT3G17010.1	+
Chr3	6542509	6543676	AT3G18960.1	+
Chr3	6548869	6551853	AT3G18990.1	-
Chr3	6637443	6639278	AT3G19184.1	+
Chr3	8997370	9001063	AT3G24650.1	+
Chr3	9853828	9855989	AT3G26790.1	-
Chr3	17223954	17225316	AT3G46770.1	+
Chr3	19766664	19768599	AT3G53310.1	-
Chr3	22951463	22952851	AT3G61970.1	+
Chr4	114971	117051	AT4G00260.1	+
Chr4	639247	640940	AT4G01500.1	+
Chr4	685746	686827	AT4G01580.1	+
Chr4	1400832	1401584	AT4G03170.1	+
Chr4	11463104	11468679	AT4G21550.1	+
Chr4	15317499	15320020	AT4G31610.1	+
Chr4	15320297	15322194	AT4G31615.1	-
Chr4	15322452	15324681	AT4G31620.1	-
Chr4	15325343	15327220	AT4G31630.1	-
Chr4	15328357	15329689	AT4G31640.1	+
Chr4	15331140	15333321	AT4G31650.1	+
Chr4	15334013	15335630	AT4G31660.1	+
Chr4	15340289	15342081	AT4G31680.1	-
Chr4	15343327	15345161	AT4G31690.1	-
Chr4	15479524	15485353	AT4G32010.1	+
Chr4	16047354	16049355	AT4G33280.1	-
Chr4	16445208	16447773	AT4G34400.1	+
Chr5	1892714	1894124	AT5G06250.1	-
Chr5	1892714	1894124	AT5G06250.2	-
Chr5	3036956	3038484	AT5G09780.1	-
Chr5	5959900	5961642	AT5G18000.1	-
Chr5	5985365	5987165	AT5G18090.1	+
Chr5	8865651	8867637	AT5G25470.1	-
Chr5	8865651	8867685	AT5G25470.2	-
Chr5	8867797	8869652	AT5G25475.1	-
Chr5	8867797	8869821	AT5G25475.2	-
Chr5	8867797	8869651	AT5G25475.3	-
Chr5	8867797	8869821	AT5G25475.4	-
Chr5	12081803	12084148	AT5G32460.1	-
Chr5	17122171	17124353	AT5G42700.1	+
Chr5	23389745	23391620	AT5G57720.1	-
Chr5	23567338	23568670	AT5G58280.1	+
Chr5	24211871	24212958	AT5G60130.1	-
Chr5	24211871	24213164	AT5G60130.2	-
Chr5	24214077	24215453	AT5G60140.1	-
Chr5	24216180	24217691	AT5G60142.1	-
Chr5	26741563	26742826	AT5G66980.1	+
